height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,diff (6-period later),diff (12-period later),diff (24-period later)
108864,1298006152,36459,40.24,0x1b01cc26,429,2.60E+11,109670,1379192,1155038
110880,1298800760,55589,52.47,0x1b012dcd,394,3.97E+11,157416,1563027,1159929
112896,1299684355,76192,37.06,0x1b00dc31,438,5.45E+11,244112,1690895,1250757
114912,1301020785,68977,-9.47,0x1b00f339,663,4.94E+11,434877,1888786,1307728
116928,1302034197,82345,19.38,0x1b00cbbd,503,5.89E+11,567269,1805700,1379647
118944,1303112976,92347,12.15,0x1b00b5ac,535,6.61E+11,876954,1777774,1376302
120960,1304131980,109670,18.76,0x1b0098fa,505,7.85E+11,1379192,1755425,1496978
122976,1304975844,157416,43.54,0x1a6a93b3,419,1.13E+12,1563027,1689334,1498294
124992,1305756287,244112,55.07,0x1a44b9f2,387,1.75E+12,1690895,1468195,1626553
127008,1306435316,434877,78.15,0x1a269421,337,3.11E+12,1888786,1203461,1577913
129024,1307363105,567269,30.44,0x1a1d932f,460,4.06E+12,1805700,1192497,1508589
131040,1308145774,876954,54.59,0x1a132185,388,6.28E+12,1777774,1090715,1733207
133056,1308915923,1379192,57.27,0x1a0c2a12,382,9.86E+12,1755425,1155038,1591074
135072,1309984546,1563027,13.33,0x1a0abbcf,530,1.12E+13,1689334,1159929,1583177
137088,1311103389,1690895,8.18,0x1a09ec04,555,1.21E+13,1468195,1250757,1726566
139104,1312186279,1888786,11.7,0x1a08e1e5,537,1.35E+13,1203461,1307728,1751454
141120,1313451894,1805700,-4.4,0x1a094a86,628,1.29E+13,1192497,1379647,1866391
143136,1314681303,1777774,-1.55,0x1a096fe3,610,1.27E+13,1090715,1376302,2036671
145152,1315906316,1755425,-1.26,0x1a098ea5,608,1.26E+13,1155038,1496978,2190865
147168,1317163624,1689334,-3.76,0x1a09ee5d,624,1.21E+13,1159929,1498294,2440642
149184,1318556675,1468195,-13.09,0x1a0b6d4b,691,1.05E+13,1250757,1626553,2694047
151200,1320032534,1203461,-18.03,0x1a0df0ca,732,8.61E+12,1307728,1577913,2864140
153216,1321253770,1192497,-0.91,0x1a0e119a,606,8.53E+12,1379647,1508589,3054627
155232,1322576420,1090715,-8.54,0x1a0f61b1,656,7.81E+12,1376302,1733207,3072321
