height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,diff (6-period later),diff (12-period later),diff (24-period later)
2016,1233063531,1,0,0x1d00ffff,1020,4209307,1,1,7
4032,1234466190,1,0,0x1d00ffff,696,6173028,1,1,11
6048,1235966513,1,0,0x1d00ffff,744,5771193,1,1,12
8064,1237508786,1,0,0x1d00ffff,765,5614216,1,1,11
10080,1239055463,1,0,0x1d00ffff,767,5598230,1,1,16
12096,1240599098,1,0,0x1d00ffff,766,5609262,1,1,17
14112,1242098425,1,0,0x1d00ffff,744,5775027,1,1,19
16128,1243737085,1,0,0x1d00ffff,813,5283984,1,2,23
18144,1246051973,1,0,0x1d00ffff,1148,3740420,1,3,45
20160,1248481816,1,0,0x1d00ffff,1205,3563462,1,4,181
22176,1252069298,1,0,0x1d00ffff,1780,2413574,1,4,244
24192,1254454028,1,0,0x1d00ffff,1183,3630873,1,6,352
26208,1257002900,1,0,0x1d00ffff,1264,3397053,1,7,511
28224,1259358667,1,0,0x1d00ffff,1169,3675513,2,11,623
30240,1261130161,1,0,0x1d00ffff,879,4887769,3,12,712
32256,1262153464,1,0,0x1d00d86a,508,8461476,4,11,917
34272,1263250117,1,0,0x1d00c428,544,7895527,4,16,1318
36288,1264424879,1,0,0x1d00be71,583,7370560,6,17,1378
38304,1265319794,1,0,0x1d008cc3,444,9675392,7,19,2149
40320,1266191579,2,100,0x1c654657,432,9932098,11,23,3091
42336,1267000864,3,50,0x1c43b3e5,401,21398281,12,45,4536
44352,1268010873,4,33.33,0x1c387f6f,501,25718545,11,181,6866
46368,1269212064,4,0,0x1c381375,596,28833562,16,244,8078
48384,1270120042,6,50,0x1c2a1115,450,38144774,17,352,12251
50400,1271061586,7,16.67,0x1c20bca7,467,55177372,19,511,14484
52416,1271886772,11,57.14,0x1c16546f,409,73450808,23,623,16307
54432,1272966376,12,9.09,0x1c13ec53,536,88222343,45,712,18437
56448,1274278435,11,-8.33,0x1c159c24,651,79191445,181,917,22012
58464,1275141448,16,45.45,0x1c0f675c,428,110363568,244,1318,25997
60480,1276298786,17,6.25,0x1c0eba64,574,119704412,352,1378,36459
62496,1277382446,19,11.76,0x1c0d3142,538,135833304,511,2149,55589
